OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Chicago Bulls,22500411,1610612737,Atlanta,Hawks,ATL,hawks,161:03,34,73,0.466,6,27,0.222,13,20,0.65,5,20,25,33,6,3,7,16,87,Starters,574.8,115.0,583.3,116.7,-8.6,-1.7,0.792,3.17,24.4,0.212,0.68,0.441,11.215,11.2,0.579,0.592,1.0,0.966,21.5,107.5,89.58,107.0,0.483,22025,1610612737,ATL,Atlanta Hawks,0022500411,2025-12-23,ATL vs. CHI,L,240,123,48,95,0.505,14,42,0.333,13,20,0.65,6,32,38,38,9,4,11,24,-3.0
Miami Heat,22500423,1610612737,Atlanta,Hawks,ATL,hawks,160:21,29,59,0.492,7,22,0.318,14,15,0.933,4,21,25,23,5,2,14,8,79,Starters,504.5,100.9,567.6,113.5,-63.0,-12.6,0.65,1.24,18.3,0.13,0.714,0.451,19.091,19.1,0.541,0.589,1.0,0.983,22.1,110.5,92.08,110.0,0.434,22025,1610612737,ATL,Atlanta Hawks,0022500423,2025-12-26,ATL vs. MIA,L,241,111,40,85,0.471,12,36,0.333,19,21,0.905,5,37,42,26,6,5,21,16,-15.0
New York Knicks,22500435,1610612737,Atlanta,Hawks,ATL,hawks,163:22,26,56,0.464,7,20,0.35,18,22,0.818,8,27,35,32,5,2,11,14,77,Starters,606.8,121.4,621.4,124.3,-14.6,-2.9,0.767,2.75,22.1,0.255,0.589,0.43,11.65,11.7,0.579,0.62,1.0,0.966,20.6,103.0,85.83,103.0,0.499,22025,1610612737,ATL,Atlanta Hawks,0022500435,2025-12-27,ATL vs. NYK,L,239,125,43,89,0.483,17,43,0.395,22,27,0.815,9,28,37,33,6,3,11,20,-3.0
Oklahoma City Thunder,22500455,1610612737,Atlanta,Hawks,ATL,hawks,166:23,36,76,0.474,17,39,0.436,10,12,0.833,6,23,29,20,6,4,10,11,99,Starters,591.7,118.3,642.2,128.4,-50.5,-10.1,0.696,2.0,20.9,0.222,0.667,0.424,14.679,14.7,0.603,0.617,1.0,0.992,21.8,109.0,90.83,109.0,0.441,22025,1610612737,ATL,Atlanta Hawks,0022500455,2025-12-29,ATL @ OKC,L,240,129,46,97,0.474,25,54,0.463,12,17,0.706,10,28,38,32,11,4,16,20,-11.0
Minnesota Timberwolves,22500463,1610612737,Atlanta,Hawks,ATL,hawks,147:02,34,65,0.523,9,23,0.391,5,9,0.556,10,20,30,24,4,3,6,9,82,Starters,636.4,127.3,510.0,102.0,126.4,25.3,0.745,3.8,23.9,0.379,0.712,0.536,10.101,10.1,0.567,0.567,1.0,0.975,19.9,99.5,82.92,99.0,0.6,22025,1610612737,ATL,Atlanta Hawks,0022500463,2025-12-31,ATL vs. MIN,W,240,126,51,104,0.49,16,42,0.381,8,16,0.5,16,33,49,38,9,4,8,15,24.0
New York Knicks,22500479,1610612737,Atlanta,Hawks,ATL,hawks,161:55,34,65,0.523,8,23,0.348,11,21,0.524,6,28,34,25,9,2,9,13,87,Starters,533.7,106.7,476.0,95.2,57.7,11.5,0.738,2.38,21.4,0.196,0.683,0.465,12.5,12.5,0.545,0.561,1.0,0.982,20.8,104.0,86.67,104.0,0.56,22025,1610612737,ATL,Atlanta Hawks,0022500479,2026-01-02,ATL @ NYK,W,240,111,42,88,0.477,12,36,0.333,15,25,0.6,9,40,49,31,12,2,13,21,12.0
Toronto Raptors,22500488,1610612737,Atlanta,Hawks,ATL,hawks,167:47,34,73,0.466,10,27,0.37,15,18,0.833,4,22,26,28,5,3,14,11,93,Starters,541.7,108.3,626.2,125.2,-84.5,-16.9,0.762,2.0,21.2,0.226,0.727,0.454,14.815,14.8,0.555,0.589,1.0,0.958,21.5,107.5,89.58,108.0,0.431,22025,1610612737,ATL,Atlanta Hawks,0022500488,2026-01-03,ATL @ TOR,L,239,117,42,91,0.462,17,39,0.436,16,19,0.842,7,29,36,32,10,3,15,19,-17.0
Toronto Raptors,22500504,1610612737,Atlanta,Hawks,ATL,hawks,167:57,27,66,0.409,6,20,0.3,11,14,0.786,8,33,41,21,6,1,13,14,71,Starters,471.7,94.3,567.3,113.5,-95.6,-19.1,0.8,1.87,19.0,0.228,0.833,0.505,14.151,14.2,0.461,0.509,1.0,0.95,21.0,105.0,87.5,106.0,0.413,22025,1610612737,ATL,Atlanta Hawks,0022500504,2026-01-05,ATL @ TOR,L,240,100,35,89,0.393,12,34,0.353,18,21,0.857,8,38,46,28,11,1,14,21,-18.0
New Orleans Pelicans,22500519,1610612737,Atlanta,Hawks,ATL,hawks,169:55,32,70,0.457,10,31,0.323,10,14,0.714,9,32,41,25,10,7,17,12,84,Starters,551.9,110.4,467.3,93.5,84.6,16.9,0.682,1.43,19.5,0.333,0.786,0.564,19.811,19.8,0.558,0.571,1.0,0.968,21.3,106.5,88.75,106.0,0.555,22025,1610612737,ATL,Atlanta Hawks,0022500519,2026-01-07,ATL vs. NOP,W,240,117,44,95,0.463,18,47,0.383,11,17,0.647,11,38,49,30,13,10,19,19,17.0
Denver Nuggets,22500537,1610612737,Atlanta,Hawks,ATL,hawks,165:46,35,75,0.467,11,33,0.333,2,4,0.5,2,31,33,25,11,4,6,7,83,Starters,572.9,114.6,457.9,91.6,115.0,23.0,0.674,5.17,23.1,0.137,0.884,0.479,6.25,6.3,0.574,0.574,1.0,0.971,19.1,95.5,79.58,96.0,0.6,22025,1610612737,ATL,Atlanta Hawks,0022500537,2026-01-09,ATL @ DEN,W,240,110,46,94,0.489,16,43,0.372,2,4,0.5,4,36,40,31,14,6,6,17,23.0
