OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Boston Celtics,0022500426,1610612754,Indiana,Pacers,IND,pacers,124:39,21,52,0.404,6,22,0.273,9,12,0.75,5,16,21,16,5,2,9,15,57,Starters,592.2,118.4,686.3,137.3,-94.0,-18.8,0.659,2.07,19.9,0.298,0.675,0.471,13.592,13.6,0.596,0.624,1.0,0.966,20.5,102.5,85.42,103.0,0.423,22025,1610612754,IND,Indiana Pacers,0022500426,2025-12-26,IND vs. BOS,L,240,122,44,89,0.494,18,44,0.409,16,20,0.8,11,24,35,29,6,3,14,28,-18.0
Miami Heat,0022500436,1610612754,Indiana,Pacers,IND,pacers,145:32,39,68,0.574,9,23,0.391,6,7,0.857,7,17,24,24,6,3,15,10,93,Starters,532.1,106.4,651.4,130.3,-119.3,-23.9,0.652,1.15,19.2,0.347,0.623,0.49,23.853,23.9,0.559,0.58,1.0,0.992,21.8,109.0,90.83,109.0,0.373,22025,1610612754,IND,Indiana Pacers,0022500436,2025-12-27,IND @ MIA,L,240,116,46,93,0.495,12,38,0.316,12,16,0.75,15,30,45,30,6,5,26,22,-26.0
Houston Rockets,0022500453,1610612754,Indiana,Pacers,IND,pacers,125:12,24,53,0.453,9,20,0.45,8,14,0.571,3,12,15,12,6,1,4,12,65,Starters,607.1,121.4,642.9,128.6,-35.7,-7.1,0.682,3.33,21.9,0.208,0.6,0.386,9.184,9.2,0.602,0.615,1.0,0.981,19.6,98.0,81.67,98.0,0.467,22025,1610612754,IND,Indiana Pacers,0022500453,2025-12-29,IND @ HOU,L,242,119,44,88,0.5,18,34,0.529,13,20,0.65,7,22,29,30,12,3,9,22,-7.0
Orlando Magic,0022500464,1610612754,Indiana,Pacers,IND,pacers,117:16,22,48,0.458,6,21,0.286,18,23,0.783,0,15,15,10,5,1,11,13,68,Starters,504.6,100.9,513.8,102.8,-9.2,-1.8,0.611,1.38,15.9,0.14,0.72,0.43,14.679,14.7,0.506,0.567,1.0,0.974,21.8,109.0,90.83,109.0,0.46,22025,1610612754,IND,Indiana Pacers,0022500464,2025-12-31,IND vs. ORL,L,242,110,36,83,0.434,12,35,0.343,26,32,0.813,5,34,39,22,10,3,16,24,-2.0
San Antonio Spurs,0022500476,1610612754,Indiana,Pacers,IND,pacers,148:05,26,50,0.52,7,16,0.438,10,12,0.833,0,29,29,18,5,2,11,21,69,Starters,533.0,106.6,580.2,116.0,-47.2,-9.4,0.591,1.86,19.4,0.047,0.683,0.417,13.208,13.2,0.581,0.61,1.0,0.981,21.2,106.0,88.33,106.0,0.487,22025,1610612754,IND,Indiana Pacers,0022500476,2026-01-02,IND vs. SAS,L,242,113,44,86,0.512,12,30,0.4,13,15,0.867,1,38,39,26,9,4,14,28,-10.0
Orlando Magic,0022500495,1610612754,Indiana,Pacers,IND,pacers,148:05,33,62,0.532,10,27,0.37,16,20,0.8,3,24,27,27,2,2,8,13,92,Starters,628.7,125.7,668.3,133.7,-39.6,-7.9,0.792,3.45,25.9,0.19,0.857,0.524,10.891,10.9,0.638,0.66,1.0,0.982,20.2,101.0,84.17,101.0,0.47,22025,1610612754,IND,Indiana Pacers,0022500495,2026-01-04,IND @ ORL,L,238,127,48,87,0.552,15,34,0.441,16,21,0.762,7,34,41,38,3,3,11,26,-8.0
Cleveland Cavaliers,0022500510,1610612754,Indiana,Pacers,IND,pacers,159:22,31,68,0.456,9,20,0.45,9,13,0.692,7,19,26,22,5,3,8,8,80,Starters,552.4,110.5,576.9,115.4,-24.5,-4.9,0.744,2.29,21.3,0.241,0.707,0.442,13.333,13.3,0.548,0.572,1.0,0.949,20.9,104.5,87.08,105.0,0.47,22025,1610612754,IND,Indiana Pacers,0022500510,2026-01-06,IND vs. CLE,L,241,116,43,93,0.462,16,35,0.457,14,19,0.737,7,25,32,32,10,4,11,14,-4.0
Charlotte Hornets,0022500528,1610612754,Indiana,Pacers,IND,pacers,139:10,24,49,0.49,9,17,0.529,10,10,1.0,8,19,27,12,3,6,11,17,67,Starters,581.6,116.3,571.4,114.3,10.2,2.0,0.61,1.25,18.4,0.317,0.694,0.522,20.408,20.4,0.573,0.625,1.0,0.982,19.6,98.0,81.67,98.0,0.523,22025,1610612754,IND,Indiana Pacers,0022500528,2026-01-08,IND @ CHA,W,240,114,41,82,0.5,12,27,0.444,20,21,0.952,10,31,41,25,9,6,19,27,2.0
Miami Heat,0022500543,1610612754,Indiana,Pacers,IND,pacers,125:37,24,55,0.436,7,19,0.368,13,16,0.813,6,24,30,19,4,1,9,12,68,Starters,549.1,109.8,438.1,87.6,111.1,22.2,0.841,2.06,22.6,0.263,0.763,0.517,16.071,16.1,0.536,0.571,1.0,0.976,22.5,112.5,93.75,112.0,0.636,22025,1610612754,IND,Indiana Pacers,0022500543,2026-01-10,IND vs. MIA,W,239,123,44,98,0.449,17,40,0.425,18,22,0.818,12,42,54,37,13,4,16,23,24.0
Boston Celtics,0022500559,1610612754,Indiana,Pacers,IND,pacers,144:07,26,51,0.51,9,19,0.474,3,4,0.75,2,25,27,20,7,2,10,3,64,Starters,526.9,105.4,521.7,104.3,5.1,1.0,0.744,2.42,22.1,0.191,0.735,0.469,12.903,12.9,0.56,0.566,1.0,0.951,18.5,92.5,77.08,93.0,0.52,22025,1610612754,IND,Indiana Pacers,0022500559,2026-01-12,IND vs. BOS,W,240,98,39,84,0.464,16,37,0.432,4,6,0.667,5,35,40,29,8,3,11,7,2.0
