OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Washington Wizards,0022500425,1610612761,Toronto,Raptors,TOR,raptors,153:10,31,65,0.477,8,22,0.364,19,21,0.905,8,20,28,16,6,4,7,10,89,Starters,562.5,112.5,669.9,134.0,-107.4,-21.5,0.65,2.36,18.4,0.231,0.684,0.422,10.577,10.6,0.505,0.569,1.0,0.983,20.7,103.5,86.25,104.0,0.425,22025,1610612761,TOR,Toronto Raptors,0022500425,2025-12-26,TOR @ WAS,L,241,117,40,91,0.44,12,36,0.333,25,27,0.926,8,25,33,26,10,5,11,16,-21.0
Golden State Warriors,0022500441,1610612761,Toronto,Raptors,TOR,raptors,163:41,39,77,0.506,7,25,0.28,13,15,0.867,14,30,44,28,5,1,10,15,98,Starters,629.5,125.9,567.0,113.4,62.5,12.5,0.714,2.67,23.0,0.4,0.679,0.541,13.393,13.4,0.568,0.598,1.0,0.978,20.29,101.43,84.53,112.0,0.577,22025,1610612761,TOR,Toronto Raptors,0022500441,2025-12-28,TOR vs. GSW,W,265,141,56,110,0.509,13,42,0.31,16,18,0.889,18,37,55,40,10,2,14,26,14.0
Orlando Magic,0022500451,1610612761,Toronto,Raptors,TOR,raptors,139:04,23,64,0.359,1,18,0.056,10,11,0.909,9,24,33,15,3,3,3,9,57,Starters,563.2,112.6,557.9,111.6,5.3,1.1,0.564,3.67,15.5,0.385,0.684,0.525,6.316,6.3,0.434,0.479,1.0,0.975,19.0,95.0,79.17,95.0,0.495,22025,1610612761,TOR,Toronto Raptors,0022500451,2025-12-29,TOR vs. ORL,W,240,107,39,99,0.394,8,34,0.235,21,29,0.724,21,37,58,22,6,7,6,22,1.0
Denver Nuggets,0022500468,1610612761,Toronto,Raptors,TOR,raptors,139:20,31,66,0.47,12,27,0.444,17,21,0.81,8,25,33,19,2,1,3,15,91,Starters,530.9,106.2,552.1,110.4,-21.2,-4.2,0.73,3.38,18.2,0.364,0.75,0.526,8.247,8.2,0.43,0.471,1.0,0.975,19.3,96.5,80.42,97.0,0.464,22025,1610612761,TOR,Toronto Raptors,0022500468,2025-12-31,TOR vs. DEN,L,238,103,37,100,0.37,12,45,0.267,17,21,0.81,17,33,50,27,6,4,8,25,-3.0
Atlanta Hawks,0022500488,1610612761,Toronto,Raptors,TOR,raptors,154:37,38,66,0.576,7,18,0.389,16,18,0.889,3,22,25,15,7,5,10,11,99,Starters,626.2,125.2,541.7,108.3,84.5,16.9,0.571,2.0,19.0,0.273,0.774,0.546,13.084,13.1,0.598,0.648,1.0,0.992,21.5,107.5,89.58,107.0,0.569,22025,1610612761,TOR,Toronto Raptors,0022500488,2026-01-03,TOR vs. ATL,W,240,134,49,92,0.533,12,31,0.387,24,26,0.923,10,38,48,28,10,8,14,20,17.0
Atlanta Hawks,0022500504,1610612761,Toronto,Raptors,TOR,raptors,164:33,36,68,0.529,8,24,0.333,7,13,0.538,7,26,33,25,7,4,11,9,87,Starters,567.3,113.5,471.7,94.3,95.6,19.1,0.723,2.27,23.3,0.167,0.772,0.495,14.423,14.4,0.589,0.6,1.0,0.982,21.0,105.0,87.5,104.0,0.587,22025,1610612761,TOR,Toronto Raptors,0022500504,2026-01-05,TOR vs. ATL,W,241,118,47,90,0.522,12,37,0.324,12,19,0.632,7,39,46,34,10,5,13,16,18.0
Charlotte Hornets,0022500516,1610612761,Toronto,Raptors,TOR,raptors,140:40,29,67,0.433,4,23,0.174,14,19,0.737,9,21,30,8,4,4,3,5,76,Starters,533.0,106.6,527.5,105.5,5.5,1.1,0.474,3.0,14.4,0.286,0.596,0.435,6.593,6.6,0.451,0.483,1.0,0.981,18.2,91.0,75.83,91.0,0.505,22025,1610612761,TOR,Toronto Raptors,0022500516,2026-01-07,TOR @ CHA,W,240,97,38,92,0.413,7,34,0.206,14,19,0.737,15,27,42,18,6,4,5,19,1.0
Boston Celtics,0022500532,1610612761,Toronto,Raptors,TOR,raptors,140:09,29,60,0.483,12,28,0.429,7,8,0.875,7,15,22,23,5,3,3,10,77,Starters,629.0,125.8,679.3,135.9,-50.3,-10.1,0.867,5.57,27.1,0.277,0.634,0.443,7.527,7.5,0.587,0.607,1.0,0.971,18.5,92.5,77.08,93.0,0.479,22025,1610612761,TOR,Toronto Raptors,0022500532,2026-01-09,TOR @ BOS,L,240,117,45,92,0.489,18,47,0.383,9,10,0.9,9,22,31,39,7,6,6,18,-8.0
Philadelphia 76ers,0022500550,1610612761,Toronto,Raptors,TOR,raptors,166:57,31,71,0.437,5,21,0.238,25,32,0.781,12,16,28,25,7,3,9,10,92,Starters,532.1,106.4,527.5,105.5,4.6,0.9,0.707,1.93,17.3,0.455,0.615,0.525,13.761,13.8,0.422,0.483,1.0,0.971,19.74,98.72,82.26,109.0,0.543,22025,1610612761,TOR,Toronto Raptors,0022500550,2026-01-11,TOR vs. PHI,W,266,116,41,103,0.398,5,32,0.156,29,39,0.744,18,30,48,29,14,6,15,28,1.0
Philadelphia 76ers,0022500560,1610612761,Toronto,Raptors,TOR,raptors,163:57,25,63,0.397,2,19,0.105,13,13,1.0,11,17,28,22,7,1,8,12,65,Starters,542.6,108.5,611.7,122.3,-69.1,-13.8,0.784,3.22,20.4,0.339,0.771,0.505,9.574,9.6,0.435,0.495,1.0,0.982,18.8,94.0,78.33,94.0,0.459,22025,1610612761,TOR,Toronto Raptors,0022500560,2026-01-12,TOR vs. PHI,L,240,102,37,92,0.402,6,37,0.162,22,25,0.88,15,23,38,29,7,2,9,19,-13.0
