OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Indiana Pacers,22500464,1610612753,Orlando,Magic,ORL,magic,153:36,30,64,0.469,2,14,0.143,17,22,0.773,3,32,35,20,6,4,14,14,79,Starters,513.8,102.8,504.6,100.9,9.2,1.8,0.651,1.47,18.5,0.28,0.86,0.57,17.431,17.4,0.494,0.547,1.0,0.984,21.8,109.0,90.83,109.0,0.54,22025,1610612753,ORL,Orlando Magic,0022500464,2025-12-31,ORL @ IND,W,240,112,43,90,0.478,3,21,0.143,23,28,0.821,8,41,49,28,9,4,19,23,2.0
Chicago Bulls,22500480,1610612753,Orlando,Magic,ORL,magic,157:42,34,69,0.493,10,25,0.4,9,15,0.6,1,24,25,22,6,3,8,13,87,Starters,570.0,114.0,611.1,122.2,-41.1,-8.2,0.651,2.55,20.4,0.188,0.711,0.441,11.0,11.0,0.581,0.598,1.0,0.972,19.9,99.5,82.92,100.0,0.448,22025,1610612753,ORL,Orlando Magic,0022500480,2026-01-02,ORL @ CHI,L,240,114,43,86,0.5,14,32,0.438,14,21,0.667,5,31,36,28,10,5,11,23,-7.0
Indiana Pacers,22500495,1610612753,Orlando,Magic,ORL,magic,168:08,39,69,0.565,12,25,0.48,24,31,0.774,4,29,33,25,7,5,6,13,114,Starters,668.3,133.7,628.7,125.7,39.6,7.9,0.723,4.86,24.1,0.143,0.81,0.476,6.931,6.9,0.649,0.682,1.0,0.981,20.2,101.0,84.17,101.0,0.53,22025,1610612753,ORL,Orlando Magic,0022500495,2026-01-04,ORL vs. IND,W,241,135,47,84,0.56,15,32,0.469,26,34,0.765,4,32,36,34,7,6,7,19,8.0
Washington Wizards,22500511,1610612753,Orlando,Magic,ORL,magic,110:05,19,43,0.442,5,17,0.294,7,11,0.636,2,17,19,15,2,1,15,11,50,Starters,533.3,106.7,560.7,112.1,-27.4,-5.5,0.667,1.47,18.8,0.302,0.7,0.495,18.095,18.1,0.522,0.546,1.0,1.0,21.2,106.0,88.33,105.0,0.449,22025,1610612753,ORL,Orlando Magic,0022500511,2026-01-06,ORL @ WAS,L,243,112,42,92,0.457,12,33,0.364,16,24,0.667,13,35,48,28,8,4,19,23,-8.0
Brooklyn Nets,22500521,1610612753,Orlando,Magic,ORL,magic,178:15,31,68,0.456,5,23,0.217,11,13,0.846,6,24,30,20,6,1,18,11,78,Starters,509.8,102.0,515.0,103.0,-5.2,-1.0,0.683,1.56,18.4,0.39,0.66,0.518,17.647,17.6,0.474,0.5,1.0,0.976,18.29,91.47,76.23,102.0,0.537,22025,1610612753,ORL,Orlando Magic,0022500521,2026-01-07,ORL @ BKN,W,264,104,41,96,0.427,9,33,0.273,13,18,0.722,20,35,55,28,12,4,18,19,1.0
Philadelphia 76ers,22500533,1610612753,Orlando,Magic,ORL,magic,171:20,30,67,0.448,4,21,0.19,12,12,1.0,8,26,34,19,1,6,16,13,76,Starters,469.1,93.8,525.5,105.1,-56.4,-11.3,0.583,1.11,15.3,0.358,0.593,0.482,19.588,19.6,0.432,0.474,1.0,0.983,19.5,97.5,81.25,97.0,0.432,22025,1610612753,ORL,Orlando Magic,0022500533,2026-01-09,ORL vs. PHI,L,240,91,36,88,0.409,4,29,0.138,15,18,0.833,11,31,42,21,5,10,18,18,-12.0
New Orleans Pelicans,22500548,1610612753,Orlando,Magic,ORL,magic,180:24,34,60,0.567,6,14,0.429,25,29,0.862,11,26,37,22,10,3,11,12,99,Starters,666.7,133.3,627.7,125.5,39.0,7.8,0.628,2.08,19.4,0.452,0.8,0.61,13.542,13.5,0.591,0.657,1.0,0.964,19.0,95.0,79.17,96.0,0.554,22025,1610612753,ORL,Orlando Magic,0022500548,2026-01-11,ORL vs. NOP,W,240,128,43,82,0.524,11,24,0.458,31,35,0.886,11,28,39,27,10,3,11,16,10.0
Memphis Grizzlies,22500578,1610612753,Orlando,Magic,ORL,magic,161:35,30,65,0.462,13,28,0.464,14,15,0.933,12,26,38,21,5,3,11,10,87,Starters,584.2,116.8,549.5,109.9,34.7,6.9,0.683,1.75,18.3,0.429,0.776,0.59,15.842,15.8,0.511,0.561,1.0,0.976,20.2,101.0,84.17,101.0,0.54,22025,1610612753,ORL,Orlando Magic,0022500578,2026-01-15,MEM @ ORL,W,240,118,41,95,0.432,15,40,0.375,21,23,0.913,19,35,54,28,9,4,16,15,7.0
Memphis Grizzlies,22500602,1610612753,Orlando,Magic,ORL,magic,168:32,29,71,0.408,8,23,0.348,12,13,0.923,8,17,25,25,4,3,11,13,78,Starters,545.0,109.0,617.6,123.5,-72.6,-14.5,0.714,1.76,20.1,0.358,0.681,0.51,17.0,17.0,0.495,0.534,1.0,1.0,20.2,101.0,84.17,100.0,0.416,22025,1610612753,ORL,Orlando Magic,0022500602,2026-01-18,ORL @ MEM,L,239,109,42,95,0.442,10,33,0.303,15,16,0.938,12,30,42,30,5,6,17,20,-17.0
Charlotte Hornets,22500627,1610612753,Orlando,Magic,ORL,magic,128:06,18,47,0.383,7,21,0.333,12,16,0.75,4,16,20,15,3,1,8,12,55,Starters,510.5,102.1,652.6,130.5,-142.1,-28.4,0.758,2.08,19.7,0.167,0.684,0.395,12.632,12.6,0.506,0.547,1.0,1.0,19.0,95.0,79.17,95.0,0.363,22025,1610612753,ORL,Orlando Magic,0022500627,2026-01-22,ORL vs. CHA,L,240,97,33,79,0.418,14,37,0.378,17,22,0.773,6,25,31,25,7,4,12,23,-27.0
